# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
3.126267811377159589e+00 3.042546912141159154e+01 5.055512231979927051e+00 1.626109899889406130e+00
3.156917495802425755e+00 2.971509041651801653e+01 4.885075758007848101e+00 1.633909913247635570e+00
3.187567180227691921e+00 2.972217073335130877e+01 4.881636802157474087e+00 1.553255436985006233e+00
3.218216864652958087e+00 2.957341507177033790e+01 4.800461060111737233e+00 1.551145630899500194e+00
3.248866549078224697e+00 2.969663604502973442e+01 4.730881865734356317e+00 1.532584589808092534e+00
3.279516233503490863e+00 2.951712397093414353e+01 4.686929626918000302e+00 1.488930728837650097e+00
3.310165917928757029e+00 2.912072037021868809e+01 4.574278970012366052e+00 1.474584878150917211e+00
3.340815602354023639e+00 2.887763673420927546e+01 4.526503605190269397e+00 1.449720682541260741e+00
3.371465286779289805e+00 2.937210537813790978e+01 4.436670120923486671e+00 1.415655669990897980e+00
3.402114971204555971e+00 2.895610554774732748e+01 4.360698420593539737e+00 1.390332684149822029e+00
3.432764655629822137e+00 2.900654509685230309e+01 4.305447463837440480e+00 1.363898540900299716e+00
3.463414340055088303e+00 2.924181960482903264e+01 4.209060820515196255e+00 1.340440881892641656e+00
3.494064024480354469e+00 2.902932166703353190e+01 4.128349024912841614e+00 1.320217914205525034e+00
3.524713708905621079e+00 2.987745142299913326e+01 4.166719027202838710e+00 1.314519207382985666e+00
3.555363393330887245e+00 2.984233438653791382e+01 4.090764839933705765e+00 1.289237535368544574e+00
3.586013077756153411e+00 2.929136768580144334e+01 3.991744581915706025e+00 1.279576357225824301e+00
3.616662762181420021e+00 2.951174320605435142e+01 3.996091029012259987e+00 1.278043700711469111e+00
3.647312446606686187e+00 2.972744332107843590e+01 3.943502786276223304e+00 1.246155408666165476e+00
3.677962131031952353e+00 3.004660467842049698e+01 3.902379962091114152e+00 1.246591649470551566e+00
3.708611815457218519e+00 2.986350081037277349e+01 3.864031901807898350e+00 1.218164005385515170e+00
3.739261499882484685e+00 3.037513034201745654e+01 3.827433179806340569e+00 1.212671814327203723e+00
3.769911184307751295e+00 3.054922831713167497e+01 3.830063588053488122e+00 1.202801869307975835e+00
3.800560868733017461e+00 3.096668774832381743e+01 3.804371438188877352e+00 1.185246670089938670e+00
3.831210553158283627e+00 3.145252568232934109e+01 3.779592240510707413e+00 1.173452804227188562e+00
3.861860237583550237e+00 3.125118651753325238e+01 3.735285984848484730e+00 1.166586977918196544e+00
3.892509922008816403e+00 3.204828602749466882e+01 3.673074188817049723e+00 1.157345572493725161e+00
